Câu hỏi,Câu trả lời
Nghị quyết số 73/2022/QH15 về thí điểm đấu giá biển số xe ô tô hết hiệu lực khi nào?,"Kể từ ngày Luật số 36/2024/QH15 có hiệu lực thi hành, trừ một số trường hợp chuyển tiếp."
"Trong quá trình di chuyển phương tiện vi phạm dừng đỗ, Cảnh sát giao thông có trách nhiệm gì?",Phải có trách nhiệm bảo đảm an toàn cho phương tiện được di chuyển.
"Chi phí di chuyển phương tiện vi phạm dừng, đỗ do ai phải trả?",Người điều khiển phương tiện hoặc chủ phương tiện vi phạm phải trả chi phí.
"Khi nào Cảnh sát giao thông có thể thuê tổ chức, cá nhân di chuyển phương tiện vi phạm?",Khi không đủ điều kiện thực hiện việc di chuyển phương tiện vi phạm.
"Biện pháp phát hiện vi phạm pháp luật về trật tự, an toàn giao thông đường bộ bao gồm những biện pháp nào?","Vận hành hệ thống giám sát; sử dụng phương tiện, thiết bị kỹ thuật nghiệp vụ; khai thác dữ liệu từ thiết bị giám sát hành trình; khai thác cơ sở dữ liệu; quan sát trực tiếp; tiếp nhận tin báo."
Chứng nhận đăng ký xe cơ giới khi thay đổi chủ xe phải đáp ứng điều kiện nào?,"Phải có chứng nhận thu hồi đăng ký xe, biển số xe; chứng nhận quyền sở hữu hợp pháp; chứng từ hoàn thành nghĩa vụ tài chính."
Đổi chứng nhận đăng ký xe trong trường hợp nào?,"Chứng nhận bị mờ, hỏng; cải tạo, thay đổi màu sơn; thay đổi tên, địa chỉ; hết thời hạn sử dụng; cơ quan đăng ký thay đổi cấu trúc biểu mẫu."
"Xe cơ giới, xe máy chuyên dùng được cấp biển số xe và đăng ký tạm thời trong những trường hợp nào?","Khi có chứng nhận chất lượng an toàn kỹ thuật để di chuyển từ nhà máy đến kho, cảng; xe làm thủ tục thu hồi để tái xuất; xe đăng ký ở nước ngoài được cơ quan thẩm quyền cho phép vào Việt Nam; xe chạy thử nghiệm."
Điều khiển phương tiện có chất ma túy hoặc chất kích thích trong cơ thể có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
"Xúc phạm, cản trở, chống đối người thi hành công vụ về bảo đảm trật tự, an toàn giao thông có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
"Nhập khẩu, sản xuất, lắp ráp xe cơ giới không bảo đảm chất lượng an toàn kỹ thuật có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
"Cố ý can thiệp, thay đổi phần mềm điều khiển của xe để gian lận kết quả kiểm định có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
Chở quá số người theo quy định của pháp luật có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
Vận chuyển hàng hóa cấm lưu hành hoặc không thực hiện đầy đủ quy định vận chuyển hàng nguy hiểm có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
"Đe dọa, tranh giành, lôi kéo hành khách có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
"Hủy hoại, làm hư hỏng thiết bị điều khiển, giám sát giao thông có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
"Ném gạch, đất, đá vào người, phương tiện đang tham gia giao thông có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
Điều khiển xe cơ giới không có giấy phép lái xe có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
"Lái xe lạng lách, đánh võng, rú ga liên tục có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
Đưa xe cơ giới không bảo đảm an toàn kỹ thuật tham gia giao thông có bị nghiêm cấm không?,"Có, đây là hành vi bị nghiêm cấm."
"Cắt, hàn, tẩy xóa, đục sửa trái phép số khung, số động cơ của xe cơ giới có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
Điều khiển phương tiện tham gia giao thông đường bộ mà điều khiển vật thể bay trong phạm vi khổ giới hạn đường bộ gây cản trở có bị nghiêm cấm không?,"Có, trừ tàu bay không người lái, phương tiện bay siêu nhẹ được cấp phép bay."
"Bẻ cong, che lấp biển số xe hoặc làm thay đổi chữ, số, màu sắc của biển số xe có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
"Lợi dụng, lạm dụng nhiệm vụ bảo đảm trật tự giao thông để nhũng nhiễu, xâm phạm lợi ích của cá nhân có bị nghiêm cấm không?","Có, đây là hành vi bị nghiêm cấm."
Người điều khiển xe ô tô tải được cấp giấy phép lái xe hạng C1 cần đủ điều kiện gì về tuổi?,Người đủ 18 tuổi trở lên được cấp giấy phép lái xe hạng C1.
Ai có thẩm quyền trừ điểm giấy phép lái xe?,Người có thẩm quyền xử phạt vi phạm hành chính có thẩm quyền trừ điểm giấy phép lái xe.
Giấy phép lái xe hạng C1 cấp cho đối tượng nào?,Cấp cho người lái xe ô tô tải và ô tô chuyên dùng có khối lượng toàn bộ theo thiết kế trên 3.500 kg đến 7.500 kg; và các loại xe quy định cho hạng B.
Giấy phép lái xe hạng BE cấp cho đối tượng nào?,Cấp cho người lái các loại xe ô tô quy định cho hạng B kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg.
Giấy phép lái xe hạng C1E cấp cho đối tượng nào?,Cấp cho người lái các loại xe ô tô quy định cho hạng C1 kéo rơ moóc có khối lượng toàn bộ theo thiết kế trên 750 kg.
Tín hiệu đèn màu vàng nhấp nháy có ý nghĩa gì đối với người điều khiển phương tiện?,"Được đi nhưng phải quan sát, giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường hoặc các phương tiện khác."
"Khi tín hiệu đèn xanh, người điều khiển phương tiện có phải nhường đường cho người đi bộ đang ở lòng đường không?","Có, phải giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường."
Tay bên phải của người điều khiển giao thông giơ về phía trước có ý nghĩa gì?,Báo hiệu cho người ở phía sau và bên phải phải dừng lại; người ở phía trước được rẽ phải; người ở phía bên trái được đi tất cả các hướng; người đi bộ qua đường phải đi sau lưng người điều khiển giao thông.
Phương tiện di chuyển với tốc độ thấp hơn phải đi về phía nào?,Phải đi về bên phải theo chiều đi của mình.
"Trên đường có nhiều làn đường cùng chiều, khi chuyển làn đường phải có những yêu cầu nào?","Chỉ được chuyển sang một làn đường liền kề; phải có tín hiệu báo trước; phải quan sát bảo đảm khoảng cách an toàn với xe phía trước, phía sau và hai bên."
"Làn đường dành riêng cho một loại phương tiện, người điều khiển loại phương tiện khác có được đi vào không?",Không được đi vào làn đường đó.
Xe thô sơ phải đi ở đâu khi có vạch kẻ phân làn đường?,Phải đi trên làn đường bên phải trong cùng.
"Khi xe có tín hiệu xin vượt, người điều khiển phía sau phải báo hiệu bằng gì trong đô thị từ 22 giờ đến 05 giờ?",Chỉ được báo hiệu xin vượt bằng đèn.
"Xe không được vượt khi gặp xe ưu tiên, đúng hay sai?",Đúng.
"Không được vượt xe tại nơi đường giao nhau, đúng hay sai?",Đúng.
"Không được vượt xe ở phần đường dành cho người đi bộ qua đường, đúng hay sai?",Đúng.
"Không được vượt xe khi có người đi bộ, xe lăn của người khuyết tật qua đường, đúng hay sai?",Đúng.
"Không được vượt xe trên cầu hẹp có một làn đường, đúng hay sai?",Đúng.
Khi chuyển hướng phải bảo đảm những điều kiện gì?,"Khi bảo đảm an toàn, không gây trở ngại cho người và phương tiện khác mới được chuyển hướng."
"Khi chuyển hướng, người lái xe phải nhường đường cho những ai?","Phải nhường đường cho người đi bộ, xe thô sơ, xe đi ngược chiều."
Xe ô tô nền trắng có ký hiệu 'QT' được cấp cho đối tượng nào?,Cấp cho xe của cơ quan đại diện của tổ chức quốc tế và nhân viên nước ngoài mang chứng minh thư ngoại giao của tổ chức đó.
Biển số xe có ký hiệu 'CV' được cấp cho đối tượng nào?,"Cấp cho xe của các nhân viên hành chính kỹ thuật mang chứng minh thư công vụ của các cơ quan đại diện ngoại giao, cơ quan lãnh sự, tổ chức quốc tế."
Biển số xe có ký hiệu 'NN' được cấp cho đối tượng nào?,"Cấp cho xe của tổ chức, văn phòng đại diện, cá nhân nước ngoài (trừ đối tượng có ký hiệu 'CV')."
Quỹ giảm thiểu thiệt hại tai nạn giao thông đường bộ là loại quỹ gì?,"Là quỹ tài chính nhà nước ngoài ngân sách, được hình thành ở trung ương."
Hệ thống thiết bị kỹ thuật nghiệp vụ kiểm tra tải trọng xe cơ giới được trang bị cho lực lượng nào?,Được trang bị cho lực lượng Cảnh sát giao thông.
"Bộ trưởng Bộ Công an có trách nhiệm gì về hệ thống giám sát an ninh, trật tự an toàn giao thông?","Ban hành quy chuẩn kỹ thuật quốc gia về hệ thống giám sát và quy định việc xây dựng, quản lý, vận hành, khai thác, sử dụng hệ thống."
"Cơ quan nào quản lý, vận hành hệ thống quản lý dữ liệu thiết bị giám sát hành trình?","Lực lượng Cảnh sát giao thông quản lý, vận hành, sử dụng."
"Hệ thống quản lý dữ liệu thiết bị giám sát hành trình được kết nối, chia sẻ với những cơ quan nào?","Được kết nối, chia sẻ với cơ quan quản lý đường bộ và các cơ quan liên quan."
"Khi phát hiện vụ tai nạn giao thông, tổ chức, cá nhân phải báo cho ai?","Phải báo ngay cho cơ quan Công an, cơ sở khám bệnh, chữa bệnh hoặc Ủy ban nhân dân nơi gần nhất."
Người điều khiển phương tiện khác khi đi qua nơi xảy ra tai nạn giao thông có nghĩa vụ gì?,"Có trách nhiệm chở người bị thương đi cấp cứu (trừ xe ưu tiên, xe chở người được hưởng quyền ưu đãi, miễn trừ ngoại giao)."
Ai không bắt buộc chở người bị thương đi cấp cứu khi đi qua nơi tai nạn?,"Xe ưu tiên, xe chở người được hưởng quyền ưu đãi, miễn trừ ngoại giao."
"Trong vụ tai nạn giao thông, chỉ được sử dụng phương tiện liên quan đến vụ tai nạn để đưa nạn nhân đi cấp cứu khi nào?","Chỉ khi không có phương tiện nào khác và phải xác định vị trí phương tiện, vị trí nạn nhân tại hiện trường."
Khi có người chết trong vụ tai nạn giao thông phải làm gì?,Phải giữ nguyên hiện trường và che đậy thi thể.
Cơ quan Công an khi nhận được tin báo tai nạn giao thông phải làm gì?,Phải tổ chức ngay lực lượng đến hiện trường thực hiện các biện pháp giải quyết vụ tai nạn theo quy định.
